Scenario,Pattern,Text Length,Algorithm,Matches,Build Time (ms),Match Time (ms),Total Time (ms),Memory Used (KB),Structure Nodes,Structure Size (KB)
Short Literal - Small Text,abc,1572864,KMP,0,0.002,17.168,17.170,128896.00,,
Short Literal - Small Text,abc,1572864,Boyer-Moore,0,0.001,18.682,18.683,21240.00,,
Short Literal - Small Text,abc,1572864,NFA,0,0.365,398.908,399.272,26200.00,6,0.14
Short Literal - Small Text,abc,1572864,NFA+DFA-cache,0,0.084,214.691,214.775,12240.00,6,0.14
Short Literal - Small Text,abc,1572864,DFA,0,0.366,54.844,55.210,27152.00,4,0.10
Short Literal - Small Text,abc,1572864,min-DFA,0,0.569,52.261,52.830,56432.00,4,0.10
Short Literal - Large Text,the,1572864,KMP,25596,0.001,18.167,18.168,2462768.00,,
Short Literal - Large Text,the,1572864,Boyer-Moore,25596,0.001,21.990,21.991,2477712.00,,
Short Literal - Large Text,the,1572864,NFA,25596,0.077,408.969,409.047,11776.00,6,0.14
Short Literal - Large Text,the,1572864,NFA+DFA-cache,25596,0.041,242.492,242.534,7712.00,6,0.14
Short Literal - Large Text,the,1572864,DFA,25596,0.170,57.620,57.790,20832.00,4,0.10
Short Literal - Large Text,the,1572864,min-DFA,25596,0.340,54.909,55.249,53168.00,4,0.10
Long Literal - Small Text,abcdefghijklmnop,1572864,KMP,0,0.001,18.304,18.305,18048.00,,
Long Literal - Small Text,abcdefghijklmnop,1572864,Boyer-Moore,0,0.001,7.228,7.229,19448.00,,
Long Literal - Small Text,abcdefghijklmnop,1572864,NFA,0,0.080,411.445,411.525,48440.00,32,0.69
Long Literal - Small Text,abcdefghijklmnop,1572864,NFA+DFA-cache,0,0.066,238.613,238.679,47536.00,32,0.69
Long Literal - Small Text,abcdefghijklmnop,1572864,DFA,0,0.219,78.142,78.361,100696.00,17,0.30
Long Literal - Small Text,abcdefghijklmnop,1572864,min-DFA,0,0.636,73.684,74.320,244768.00,17,0.30
Long Literal - Large Text,constitution,1572864,KMP,10,0.001,8.550,8.551,2192.00,,
Long Literal - Large Text,constitution,1572864,Boyer-Moore,10,0.001,8.102,8.103,16184.00,,
Long Literal - Large Text,constitution,1572864,NFA,10,0.060,423.921,423.980,32528.00,24,0.52
Long Literal - Large Text,constitution,1572864,NFA+DFA-cache,10,0.051,237.244,237.296,32128.00,24,0.52
Long Literal - Large Text,constitution,1572864,DFA,10,0.138,71.003,71.141,68976.00,13,0.23
Long Literal - Large Text,constitution,1572864,min-DFA,10,0.441,73.383,73.824,182800.00,13,0.23
Simple Regex - Dot,a.c,1572864,NFA,2453,0.049,500.918,500.966,9048.00,6,0.15
Simple Regex - Dot,a.c,1572864,NFA+DFA-cache,2453,0.047,305.198,305.245,8936.00,6,0.15
Simple Regex - Dot,a.c,1572864,DFA,2453,0.094,73.693,73.787,18856.00,4,0.11
Simple Regex - Dot,a.c,1572864,min-DFA,2453,0.172,74.824,74.996,35336.00,4,0.11
Simple Regex - Star,ab*c,1572864,NFA,3723,0.082,478.059,478.142,11024.00,8,0.19
Simple Regex - Star,ab*c,1572864,NFA+DFA-cache,3723,0.047,289.085,289.131,10800.00,8,0.19
Simple Regex - Star,ab*c,1572864,DFA,3723,0.136,71.522,71.658,26208.00,4,0.11
Simple Regex - Star,ab*c,1572864,min-DFA,3723,0.145,71.073,71.218,40280.00,3,0.09
Complex Regex - Alternation,(cat|dog|bird),1572864,Aho-Corasick,362,0.402,30.970,31.371,27832.00,11,0.08
Complex Regex - Alternation,(cat|dog|bird),1572864,NFA,362,0.129,1052.851,1052.980,32336.00,24,0.53
Complex Regex - Alternation,(cat|dog|bird),1572864,NFA+DFA-cache,362,0.062,1196.921,1196.983,31040.00,24,0.53
Complex Regex - Alternation,(cat|dog|bird),1572864,DFA,362,0.154,71.359,71.514,66216.00,11,0.21
Complex Regex - Alternation,(cat|dog|bird),1572864,min-DFA,362,0.288,70.976,71.264,128232.00,9,0.18
Complex Regex - Alternation,(cat|dog|bird),1572864,NFA (with prefilter),362,0.302,49.405,49.707,48432.00,35,0.61
Complex Regex - Alternation,(cat|dog|bird),1572864,NFA+DFA-cache (with prefilter),362,0.214,54.319,54.533,45952.00,35,0.61
Complex Regex - Alternation,(cat|dog|bird),1572864,DFA (with prefilter),362,0.270,33.162,33.432,82056.00,22,0.29
Complex Regex - Alternation,(cat|dog|bird),1572864,min-DFA (with prefilter),362,0.400,32.338,32.738,143008.00,20,0.26
Complex Regex - Multiple Operators,(a|b).*c,1572864,NFA,14420,0.053,1831.450,1831.504,14080.00,12,0.28
Complex Regex - Multiple Operators,(a|b).*c,1572864,NFA+DFA-cache,14420,0.048,1191.947,1191.995,14080.00,12,0.28
Complex Regex - Multiple Operators,(a|b).*c,1572864,DFA,14420,0.143,133.273,133.416,47168.00,5,0.17
Complex Regex - Multiple Operators,(a|b).*c,1572864,min-DFA,14420,0.215,131.288,131.503,66160.00,3,0.12
Complex Regex,(a|b)*c(d|e)*,1572864,NFA,31669,0.069,1278.269,1278.338,20856.00,18,0.43
Complex Regex,(a|b)*c(d|e)*,1572864,NFA+DFA-cache,31669,0.059,1453.810,1453.869,20856.00,18,0.43
Complex Regex,(a|b)*c(d|e)*,1572864,DFA,31669,0.186,75.395,75.581,75632.00,6,0.19
Complex Regex,(a|b)*c(d|e)*,1572864,min-DFA,31669,0.267,73.976,74.243,89336.00,2,0.10
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1572864,NFA,126,0.360,3082.194,3082.554,373816.00,184,4.52
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1572864,NFA+DFA-cache,126,0.364,3354.171,3354.535,373816.00,184,4.52
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1572864,DFA,126,0.908,86.517,87.424,774560.00,52,1.28
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1572864,min-DFA,126,3.318,80.486,83.804,1795592.00,21,0.55
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1572864,NFA,1586,0.184,506.928,507.112,152624.00,80,1.77
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1572864,NFA+DFA-cache,1586,0.197,327.315,327.512,152624.00,80,1.77
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1572864,DFA,1586,0.417,78.024,78.440,261360.00,32,0.57
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1572864,min-DFA,1586,1.694,74.886,76.580,675296.00,25,0.47
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1572864,NFA (with prefilter),1586,0.343,69.541,69.884,193304.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1572864,NFA+DFA-cache (with prefilter),1586,0.263,63.032,63.295,192040.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1572864,DFA (with prefilter),1586,0.455,33.529,33.984,302200.00,64,0.71
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1572864,min-DFA (with prefilter),1586,1.698,32.708,34.406,714720.00,57,0.61
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1572864,NFA,3760,0.099,7886.899,7886.999,48232.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1572864,NFA+DFA-cache,3760,0.087,1850.174,1850.261,48232.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1572864,DFA,3760,0.586,328.022,328.608,326944.00,15,0.66
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1572864,min-DFA,3760,0.793,322.994,323.787,444312.00,14,0.62
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1572864,NFA (with prefilter),3760,0.155,7815.575,7815.730,66424.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1572864,NFA+DFA-cache (with prefilter),3760,0.158,1923.749,1923.907,64824.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1572864,DFA (with prefilter),3760,0.549,333.844,334.394,344728.00,29,0.75
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1572864,min-DFA (with prefilter),3760,0.884,333.472,334.356,460960.00,28,0.70
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1572864,NFA,133,0.351,2432.672,2433.023,249272.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1572864,NFA+DFA-cache,133,0.309,2793.019,2793.328,249272.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1572864,DFA,133,0.619,80.155,80.774,440752.00,45,0.83
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1572864,min-DFA,133,3.028,72.052,75.080,1307512.00,28,0.56
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1572864,NFA (with prefilter),133,0.382,685.540,685.921,308952.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1572864,NFA+DFA-cache (with prefilter),133,0.434,818.293,818.727,308952.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1572864,DFA (with prefilter),133,0.807,58.193,59.000,500360.00,90,0.99
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1572864,min-DFA (with prefilter),133,3.374,56.381,59.755,1369992.00,73,0.72
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1572864,NFA,11699,0.201,2743.206,2743.408,162608.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1572864,NFA+DFA-cache,11699,0.225,2783.289,2783.514,162608.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1572864,DFA,11699,1.115,91.483,92.597,854232.00,34,1.38
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1572864,min-DFA,11699,2.111,87.310,89.421,1174536.00,27,1.05
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1572864,NFA (with prefilter),11699,0.244,2369.781,2370.025,191328.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1572864,NFA+DFA-cache (with prefilter),11699,0.239,2429.725,2429.963,191328.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1572864,DFA (with prefilter),11699,1.187,96.575,97.761,882952.00,51,1.47
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1572864,min-DFA (with prefilter),11699,2.284,93.834,96.118,1203192.00,44,1.14
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1572864,NFA,1,0.119,30385.469,30385.587,68312.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1572864,NFA+DFA-cache,1,0.102,3365.939,3366.041,68240.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1572864,DFA,1,0.423,2024.000,2024.423,286048.00,19,0.69
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1572864,min-DFA,1,1.078,1971.360,1972.437,522536.00,16,0.59
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1572864,NFA (with prefilter),1,0.158,28.412,28.570,89248.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1572864,NFA+DFA-cache (with prefilter),1,0.184,28.093,28.277,87680.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1572864,DFA (with prefilter),1,0.561,27.555,28.116,305488.00,33,0.78
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1572864,min-DFA (with prefilter),1,1.116,27.543,28.659,541936.00,30,0.68
Prefilter - Code Keywords,(function|class|const|return|import),1572864,Aho-Corasick,306,0.042,34.085,34.127,21248.00,30,0.11
